Name,Occupant-Start [hh],Occupant-End [hh],HVAC-Start [hh],HVAC-End [hh],Ventilation [m3/m2h],DomesticHotWater [Wh/m2d],LightingHours [h],Occupancy [Wh/m2d],Equipment [Wh/m2d],Heating-Setpoint [degC],Cooling-Setpoint [degC],Monday [-],Tuesday [-],Wednesday [-],Thursday [-],Friday [-],Saturday [-],Sunday [-],Holiday [-],Vacations [-]
주거공간,0,24,0,24,1.1,84,5,53,52,20,26,1,1,1,1,1,1,1,1,
소규모사무실,9,18,7,18,4,30,6,30,42,20,26,1,1,1,1,1,0,0,0,
대규모사무실,9,18,7,18,6,30,9,55.8,126,20,26,1,1,1,1,1,0,0,0,
회의실 및 세미나실,7,18,7,18,15,30,11,96,8,20,26,1,1,1,1,1,0,0,0,
강당,7,18,7,18,2,30,11,36,24,20,26,1,1,1,1,1,0,0,0,
구내식당,8,15,8,15,18,1250,7,177,10,20,26,1,1,1,1,1,0,0,0,
화장실,7,18,7,18,15,0,11,0,0,20,26,1,1,1,1,1,0,0,0,
그 외 체류공간,7,18,7,18,7,30,11,96,8,20,26,1,1,1,1,1,0,0,0,
부속공간,7,18,7,18,0.15,0,11,0,0,20,26,1,1,1,1,1,0,0,0,
창고/설비/문서실,7,18,7,18,0.15,0,11,0,0,20,26,1,1,1,1,1,0,0,0,
전산실,0,24,0,24,1.3,30,12,15,1800,20,26,1,1,1,1,1,1,1,1,
주방 및 조리실,8,15,8,15,90,0,7,56,1800,20,26,1,1,1,1,1,0,0,0,
병실,0,24,0,24,4,82,12,108,24,20,26,1,1,1,1,1,1,1,1,
객실,21,8,21,8,3,82,4,70,44,20,26,1,1,1,1,1,1,1,1,
교실(초중고),8,15,8,15,10,30,6,100,20,20,26,1,1,1,1,1,0,0,0,01/01-02/14;07/22-08/27;12/22-12/31
강의실(대학),9,18,9,18,30,30,6,420,24,20,26,1,1,1,1,1,0,0,0,01/01-02/28;07/08-08/31;12/14-12/31
매장(상점/백화점),8,20,8,20,4,30,12,84,24,20,26,1,1,1,1,1,1,0,0,
전시실(전시관/박물관),10,18,10,18,2,30,8,28,0,20,26,1,1,1,1,1,0,0,0,
열람실(도서관),8,20,8,20,8,30,12,168,0,20,26,1,1,1,1,1,1,0,0,
체육시설,8,23,8,23,3,220,15,60,0,20,26,1,1,1,1,1,1,0,0,
구내식당(초중고),11,15,11,15,18,1250,4,177,10,20,26,1,1,1,1,1,0,0,0,01/01-02/14;07/22-08/27;12/22-12/31
주방 및 조리실(초중고),8,15,8,15,90,0,7,56,1800,20,26,1,1,1,1,1,0,0,0,01/01-02/14;07/22-08/27;12/22-12/31
체육시설(초중고),9,16,9,16,3,220,7,60,0,20,26,1,1,1,1,1,1,0,0,
